               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,             0.03106,            0.016125,           0.0090859,             0.75315,             0.59914,             0.61995,             0.41949,            0.034036,            0.013303,            0.010387,           0.0088318,           0.0088318,           0.0088318
                  61,            0.030289,            0.015621,           0.0096262,             0.78813,             0.54713,              0.6227,             0.37341,            0.035224,             0.01384,           0.0099718,            0.008812,            0.008812,            0.008812
                  62,            0.031333,             0.01592,           0.0093225,             0.81447,             0.54884,             0.62284,             0.38448,            0.033912,            0.013526,            0.010007,           0.0087922,           0.0087922,           0.0087922
                  63,            0.030808,            0.016107,           0.0096687,             0.81371,             0.57671,             0.60832,              0.3869,            0.034536,            0.013811,             0.01022,           0.0087724,           0.0087724,           0.0087724
                  64,            0.030965,            0.015721,           0.0093135,             0.74351,             0.57535,             0.62623,              0.3948,            0.034811,            0.014774,            0.010437,           0.0087526,           0.0087526,           0.0087526
                  65,            0.029899,            0.015404,           0.0094107,             0.73982,             0.53536,             0.62373,             0.40428,            0.033802,            0.014189,            0.010425,           0.0087328,           0.0087328,           0.0087328
                  66,            0.030442,             0.01567,           0.0090967,              0.7907,             0.53823,             0.63548,             0.38977,            0.033403,            0.013395,            0.011068,            0.008713,            0.008713,            0.008713
                  67,            0.031018,            0.015818,           0.0083835,             0.78736,              0.5824,             0.64687,             0.39111,            0.034526,            0.013771,            0.010638,           0.0086932,           0.0086932,           0.0086932
                  68,            0.030355,             0.01584,           0.0094996,              0.7361,             0.55311,             0.61451,             0.39425,            0.033242,            0.013972,            0.011397,           0.0086734,           0.0086734,           0.0086734
                  69,            0.030721,            0.015659,           0.0091948,             0.74845,             0.61908,             0.62772,             0.42613,            0.032724,            0.013425,            0.010368,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02939,             0.01549,           0.0087048,              0.7662,             0.57114,             0.60099,             0.35696,            0.033591,            0.013705,           0.0097019,           0.0086338,           0.0086338,           0.0086338
                  71,            0.030095,            0.015915,           0.0083684,             0.74041,             0.57186,             0.61675,             0.38889,            0.032582,            0.013551,            0.011785,            0.008614,            0.008614,            0.008614
                  72,            0.029385,             0.01562,           0.0088865,             0.76939,             0.56783,             0.63133,              0.4042,            0.031532,            0.013458,            0.010798,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029583,            0.015704,           0.0078064,             0.78621,             0.58386,             0.63559,             0.43793,            0.032189,            0.013442,           0.0096749,           0.0085744,           0.0085744,           0.0085744
                  74,            0.029135,             0.01512,           0.0082097,             0.70167,              0.5813,             0.60552,             0.39843,            0.030983,            0.013267,            0.010417,           0.0085546,           0.0085546,           0.0085546
                  75,            0.029167,              0.0146,           0.0091064,             0.81011,             0.62222,             0.67178,             0.41298,            0.032709,            0.013029,           0.0096511,           0.0085348,           0.0085348,           0.0085348
                  76,            0.029135,            0.015642,           0.0085969,             0.75733,             0.64423,             0.61774,             0.38997,            0.031928,            0.013466,           0.0089364,            0.008515,            0.008515,            0.008515
                  77,            0.028418,            0.015177,           0.0081084,             0.80741,             0.61507,             0.65475,             0.41397,             0.03255,            0.013049,           0.0098322,           0.0084952,           0.0084952,           0.0084952
                  78,            0.029573,            0.015614,           0.0077724,             0.76859,             0.58432,             0.61208,             0.40124,            0.032945,            0.012961,            0.013605,           0.0084754,           0.0084754,           0.0084754
                  79,            0.029119,            0.014778,            0.008839,             0.73934,             0.61738,              0.6495,             0.40078,            0.031953,            0.013336,           0.0093864,           0.0084556,           0.0084556,           0.0084556
                  80,            0.029213,            0.015279,           0.0081416,             0.79839,             0.59572,               0.606,             0.40662,            0.031269,            0.013477,             0.00962,           0.0084358,           0.0084358,           0.0084358
                  81,            0.028998,            0.015319,            0.008339,             0.74125,             0.62896,             0.60494,             0.38762,             0.03236,             0.01301,            0.010179,            0.008416,            0.008416,            0.008416
                  82,            0.029273,            0.014957,           0.0084132,             0.71935,              0.6566,             0.64569,             0.40553,            0.032406,            0.013312,           0.0089089,           0.0083962,           0.0083962,           0.0083962
                  83,            0.028049,             0.01527,           0.0083517,             0.80564,               0.564,             0.64123,             0.41053,             0.03163,            0.013077,            0.009732,           0.0083764,           0.0083764,           0.0083764
                  84,            0.029307,            0.014379,            0.007053,             0.66409,             0.66094,             0.60173,             0.38226,            0.032573,            0.013769,            0.009534,           0.0083566,           0.0083566,           0.0083566
                  85,            0.029464,            0.014647,           0.0073979,             0.78039,             0.56325,             0.62722,             0.39389,            0.032442,            0.013395,            0.010084,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027948,            0.014667,           0.0077481,              0.7227,             0.63163,             0.64227,             0.41594,            0.033194,            0.013347,            0.010201,            0.008317,            0.008317,            0.008317
